Name,Platform,Year_of_Release,Genre,NA_Sales,Global_Sales,Critic_Score,User_Score,Rating
Tom Clancy's Rainbow Six: Siege,XOne,2015.0,Shooter,0.77,1.34,74.0,6.9,M
echochrome,PSP,2008.0,Puzzle,0.0,0.09,79.0,7.7,E
X-Men Legends II: Rise of Apocalypse,GC,2005.0,Role-Playing,0.19,0.25,82.0,6.2,T
Kinect Joy Ride,X360,2010.0,Racing,0.92,1.43,52.0,5.0,E
Pro Evolution Soccer 2014,PC,2013.0,Action,0.0,0.1,74.0,4.4,E
Crash Nitro Kart,GC,2003.0,Racing,0.2,0.26,66.0,7.4,E
Assassin's Creed Chronicles,PSV,2016.0,Action,0.01,0.07,70.0,8.0,T
Combat Mission: Shock Force,PC,2007.0,Strategy,0.0,0.03,62.0,3.3,T
HBO Boxing,PS,2000.0,Fighting,0.12,0.21,26.0,4.0,E
Guild Wars: Nightfall,PC,2006.0,Role-Playing,0.0,0.03,84.0,8.7,T
Tom Clancy's EndWar,X360,2008.0,Strategy,0.58,0.91,77.0,7.2,T
Tokyo Jungle,PS3,2012.0,Action,0.0,0.26,74.0,8.4,T
Naruto Shippuden: Clash of Ninja Revolution 3,Wii,2009.0,Fighting,0.44,0.51,74.0,8.1,T
NBA 2K8,PS3,2007.0,Sports,0.5,0.55,81.0,6.8,E
Crash: Mind Over Mutant,DS,2008.0,Platform,0.38,0.42,45.0,5.8,E
NFL 2K1,DC,2000.0,Sports,1.02,1.09,97.0,6.0,E
Sins of a Solar Empire,PC,2008.0,Strategy,0.0,0.03,87.0,8.2,T
Tiger Woods PGA Tour 2005,PS2,2004.0,Sports,1.03,1.44,88.0,8.2,E
Alice: Madness Returns,X360,2011.0,Adventure,0.27,0.5,70.0,8.1,M
Tiger Woods PGA Tour 2004,GBA,2003.0,Sports,0.13,0.18,75.0,7.5,E
NHL 09,PS3,2008.0,Sports,0.29,0.33,88.0,7.7,E10+
SpongeBob SquarePants: The Yellow Avenger,DS,2005.0,Action,0.31,0.34,67.0,7.6,E
Tropico 3,PC,2009.0,Strategy,0.0,0.04,79.0,8.1,T
The Sims 2: Pets,PC,2006.0,Simulation,0.01,0.04,76.0,7.7,T
Alpha Protocol,PS3,2010.0,Role-Playing,0.19,0.43,64.0,6.9,M
Hatsune Miku: Project Mirai DX,3DS,2015.0,Misc,0.16,0.32,80.0,8.5,E10+
 Tales of Xillia 2,PS3,2012.0,Role-Playing,0.2,0.84,71.0,7.9,T
NHL Hitz 20-03,PS2,2002.0,Sports,0.14,0.28,82.0,8.4,E
NBA 2K15,PS4,2014.0,Sports,1.47,2.45,83.0,7.0,E
Prism: Light the Way,DS,2007.0,Puzzle,0.05,0.05,73.0,,E
Castlevania: Lords of Shadow,X360,2010.0,Action,0.42,0.66,83.0,7.8,M
Kung-Fu: High Impact,X360,2011.0,Action,0.08,0.13,56.0,7.8,T
GRID,PC,,Racing,0.0,0.04,87.0,7.9,E
Shin Megami Tensei IV,3DS,2013.0,Role-Playing,0.28,0.58,83.0,8.3,M
WWE '13,PS3,2012.0,Action,0.51,1.35,76.0,8.1,T
Tokyo Twilight Ghost Hunters,PS3,2014.0,Role-Playing,0.03,0.06,64.0,6.4,T
LEGO Star Wars II: The Original Trilogy,XB,2006.0,Action,0.33,0.44,85.0,8.6,E10+
Battlefield Vietnam,PC,2004.0,Shooter,0.0,0.03,84.0,7.5,T
F1 2001,XB,2001.0,Racing,0.05,0.06,83.0,5.5,E
Sonic Colors,Wii,2010.0,Platform,0.92,1.68,78.0,8.5,E
Shaun White Snowboarding,PS3,2008.0,Sports,0.31,0.65,63.0,6.3,T
The Bureau: XCOM Declassified,PS3,2013.0,Shooter,0.08,0.25,69.0,6.7,M
Ninjabread Man,Wii,2007.0,Action,0.07,0.08,20.0,1.7,E
Pac-Pix,DS,2005.0,Puzzle,0.16,0.27,71.0,7.1,E
TrackMania: Build to Race,Wii,2010.0,Racing,0.09,0.23,74.0,6.8,E
NASCAR 2001,PS2,2000.0,Racing,0.34,0.7,66.0,6.6,E
Wreckless: ThE YaKuza MisSiOns,XB,2002.0,Racing,0.42,0.57,74.0,5.2,T
Supreme Commander: Forged Alliance,PC,2007.0,Strategy,0.01,0.04,81.0,8.9,E10+
Road Rash: Jailbreak,GBA,2003.0,Racing,0.07,0.1,78.0,9.3,T
Mega Man Zero 4,GBA,2005.0,Platform,0.08,0.11,77.0,9.1,E
UEFA Euro 2016,PS4,2016.0,Sports,0.0,0.29,72.0,6.6,E
Guitar Hero: On Tour,DS,2008.0,Misc,2.1,3.46,71.0,8.8,E10+
Bolt,PS3,2008.0,Adventure,0.12,0.19,59.0,6.8,E10+
True Crime: New York City,GC,2005.0,Action,0.13,0.17,59.0,8.8,M
Monster Hunter Freedom 2,PSP,2007.0,Role-Playing,0.37,2.57,72.0,8.7,T
NASCAR 07,PS2,2006.0,Racing,0.06,0.11,68.0,8.9,E
Opoona,Wii,2007.0,Role-Playing,0.08,0.1,65.0,7.7,E10+
TMNT: Mutant Melee,GC,2005.0,Fighting,0.06,0.07,44.0,2.8,T
Looney Tunes: Acme Arsenal,PS2,2007.0,Action,0.19,0.38,38.0,3.9,E10+
Mortal Kombat: Deadly Alliance,XB,2002.0,Fighting,0.77,0.96,81.0,8.4,M
Outlaw Tennis,XB,2005.0,Sports,0.03,0.04,66.0,7.7,M
Spider-Man: The Movie,XB,2002.0,Action,1.07,1.4,79.0,7.5,E
Frequency,PS2,2001.0,Misc,0.09,0.19,83.0,9.0,E
Eternal Poison,PS2,2008.0,Role-Playing,0.07,0.14,65.0,8.2,T
Mortal Kombat X,PC,2015.0,Fighting,0.01,0.05,76.0,5.1,M
Need for Speed: The Run,Wii,2011.0,Action,0.11,0.27,64.0,3.6,E10+
7 Days to Die,PS4,2016.0,Action,0.04,0.14,45.0,5.9,M
Rune Factory: Frontier,Wii,2008.0,Role-Playing,0.16,0.37,79.0,8.5,E10+
Self-Defense Training Camp,X360,2011.0,Sports,0.08,0.12,21.0,5.0,T
MotoGP,Wii,2009.0,Racing,0.05,0.18,44.0,5.4,E
Final Fantasy Tactics Advance,GBA,2003.0,Role-Playing,0.82,2.13,87.0,7.8,E
Mortal Kombat: Special Forces,PS,2000.0,Fighting,0.12,0.21,28.0,2.4,M
Mortal Kombat: Deadly Alliance,GBA,2002.0,Fighting,0.01,0.01,81.0,8.8,M
.hack//Outbreak Part 3,PS2,2002.0,Role-Playing,0.14,0.46,70.0,8.7,T
Max Payne 2: The Fall of Max Payne,XB,2003.0,Shooter,0.47,0.64,84.0,8.4,M
Batman: Arkham Asylum,PS3,2009.0,Action,2.24,4.23,91.0,8.9,T
ECW Anarchy Rulz,PS,1999.0,Fighting,0.06,0.11,43.0,6.3,E
Karnaaj Rally,GBA,2003.0,Racing,0.01,0.01,81.0,9.5,E
TOCA Race Driver 3,PS2,2006.0,Racing,0.04,0.08,82.0,7.2,E10+
Jak II,PS2,2003.0,Platform,1.68,2.78,87.0,8.2,T
Power Stone Collection,PSP,2006.0,Action,0.08,0.1,74.0,6.8,T
Dead Space,PC,2008.0,Action,0.0,0.59,86.0,8.0,M
Major League Baseball 2K11,PS3,2011.0,Sports,0.15,0.2,72.0,6.3,E
The Legend of Heroes: Trails of Cold Steel II,PS3,2014.0,Role-Playing,0.02,0.15,90.0,7.8,T
Toukiden Kiwami,PSV,2014.0,Action,0.02,0.23,82.0,8.6,T
Goodbye Deponia,PC,2013.0,Adventure,0.0,0.07,80.0,7.9,
Persona 4: Arena,PS3,2012.0,Fighting,0.3,0.73,86.0,7.7,T
Kung Fu Panda,X360,2008.0,Action,1.91,3.04,75.0,7.4,E10+
Castlevania: Curse of Darkness,PS2,2005.0,Action,0.18,0.42,70.0,7.5,M
Harry Potter and the Half-Blood Prince,PC,2009.0,Action,0.0,0.03,64.0,6.1,E10+
Sunset Overdrive,XOne,2014.0,Shooter,0.63,1.14,81.0,7.7,M
Glory Days 2,DS,2007.0,Strategy,0.08,0.09,73.0,7.3,E10+
Halo 2,XB,2004.0,Shooter,6.82,8.49,95.0,8.2,M
Middle-Earth: Shadow of Mordor,PC,2014.0,Action,0.12,0.35,84.0,8.0,M
World of Tanks,PC,2011.0,Shooter,0.0,0.29,80.0,3.7,T
The Peanuts Movie: Snoopy's Grand Adventure,PS4,2015.0,Action,0.0,0.03,59.0,6.6,E
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,2.9,7.69,88.0,7.6,M
Naruto: Ninja Council 3,DS,2006.0,Action,0.39,0.42,56.0,6.5,E10+
Mario Party 7,GC,2005.0,Misc,0.95,1.57,64.0,7.9,E
Tiger Woods PGA Tour 08,Wii,2007.0,Sports,0.93,1.02,72.0,7.0,E
Castlevania: Lords of Shadow 2,PS3,2014.0,Action,0.03,0.2,63.0,7.8,M
Skylanders Imaginators,PS4,2016.0,Platform,0.04,0.14,80.0,5.5,E10+
Tears to Tiara II: Heir of the Overlord,PS3,2013.0,Role-Playing,0.07,0.15,65.0,8.7,T
Hitman: Contracts,XB,2004.0,Shooter,0.26,0.34,78.0,8.8,M
Phineas and Ferb,DS,2009.0,Action,1.32,1.84,80.0,4.5,E
Hot Wheels Ultimate Racing,PSP,2007.0,Action,0.09,0.1,60.0,,E
Bolt,X360,2008.0,Adventure,0.18,0.25,57.0,7.1,E10+
Tom Clancy's Splinter Cell: Double Agent,PS3,2007.0,Action,0.2,0.26,78.0,6.5,M
Pro Fishing Challenge,XB,2004.0,Sports,0.02,0.02,62.0,9.1,E
Midway Arcade Treasures 2,XB,2004.0,Misc,0.24,0.31,74.0,7.4,M
Fatal Inertia,X360,2007.0,Racing,0.12,0.13,61.0,4.2,E10+
Agatha Christie: Evil Under the Sun,Wii,2008.0,Adventure,0.06,0.08,46.0,7.3,T
Star Wars: The Force Unleashed II,PC,2010.0,Action,0.03,0.03,59.0,5.8,T
Port Royale 3,X360,,Simulation,0.06,0.07,56.0,4.5,T
NBA Ballers: Chosen One,X360,2008.0,Sports,0.17,0.19,55.0,4.2,E
Super Swing Golf,Wii,2006.0,Sports,0.14,0.22,72.0,7.8,E10+
Disgaea: Afternoon of Darkness,PSP,2006.0,Role-Playing,0.15,0.23,87.0,8.2,T
Hoshigami: Ruining Blue Earth Remix,DS,2007.0,Role-Playing,0.0,0.01,55.0,7.9,T
Personal Trainer: Cooking,DS,2006.0,Misc,0.9,3.11,81.0,7.8,E
Metal Gear Solid: Digital Graphic Novel,PSP,2006.0,Misc,0.02,0.04,78.0,7.2,M
Baroque,PS2,2007.0,Role-Playing,0.05,0.13,60.0,8.8,T
BMX XXX,XB,2002.0,Sports,0.08,0.11,58.0,7.8,M
F1 Career Challenge,PS2,2003.0,Racing,0.05,0.1,70.0,7.7,E
Dante's Inferno,PSP,2010.0,Action,0.12,0.19,70.0,8.1,M
World Soccer Winning Eleven 8 International,PS2,2004.0,Sports,0.16,3.85,91.0,9.1,E
Disney's Atlantis: The Lost Empire,PS,2001.0,Platform,0.1,0.17,73.0,8.5,E
Pac-Man Fever,PS2,2001.0,Misc,0.25,0.51,47.0,6.3,E
Pro Evolution Soccer 2013,PS3,2012.0,Sports,0.18,1.53,82.0,6.7,E
Star Wars: Republic Commando,XB,2005.0,Shooter,0.48,0.67,78.0,8.9,T
Pursuit Force: Extreme Justice,PSP,2007.0,Action,0.07,0.17,73.0,7.6,T
Phantasy Star Collection,GBA,2002.0,Role-Playing,0.08,0.11,76.0,8.1,E
Naruto: Clash of Ninja 2,GC,2003.0,Fighting,0.44,1.04,74.0,8.9,T
Resident Evil: The Darkside Chronicles,Wii,2009.0,Action,0.46,1.05,75.0,8.0,M
Black,PS2,2006.0,Shooter,1.01,1.25,79.0,8.4,M
Harry Potter and the Goblet of Fire,PS2,2005.0,Action,0.54,0.65,68.0,6.7,E10+
Metroid Prime,GC,2002.0,Shooter,1.96,2.82,97.0,9.3,T
LEGO Indiana Jones: The Original Adventures,PS3,2008.0,Action,0.44,1.03,77.0,7.7,E10+
Rockstar Games presents Table Tennis,Wii,2007.0,Sports,0.39,1.26,68.0,5.8,E
Dragon Ball: Origins,DS,2008.0,Action,0.08,0.12,78.0,7.5,T
Just Dance 2014,X360,2013.0,Misc,0.72,0.99,79.0,7.8,E10+
Call of Duty: Roads to Victory,PSP,2007.0,Shooter,0.52,2.13,64.0,7.5,T
Gears of War,PC,2007.0,Shooter,0.0,0.02,87.0,7.8,M
The Powerpuff Girls: Chemical X-Traction,PS,2001.0,Action,0.14,0.25,30.0,6.3,E
Godzilla Unleashed: Double Smash,DS,2007.0,Action,0.11,0.12,28.0,4.9,E
Dante's Inferno,X360,2010.0,Action,0.63,0.92,73.0,7.7,M
Aliens in the Attic,DS,2009.0,Action,0.05,0.05,58.0,6.0,E10+
Operation Flashpoint: Red River,PC,2011.0,Shooter,0.01,0.07,67.0,4.9,M
Saint Seiya: Brave Soldiers,PS3,2013.0,Fighting,0.0,0.07,55.0,7.4,
Dead Space 2,X360,2011.0,Shooter,0.94,1.51,90.0,8.6,M
Star Wars: Battlefront,XB,2004.0,Shooter,1.24,1.75,80.0,9.1,T
Blood Bowl: Legendary Edition,PC,2010.0,Sports,0.0,0.02,73.0,6.4,T
Mace Griffin: Bounty Hunter,XB,2003.0,Shooter,0.08,0.11,64.0,8.2,M
Ninja Gaiden II,X360,2008.0,Action,0.65,1.01,81.0,8.0,M
Lost Planet 2,PS3,2010.0,Shooter,0.29,0.95,68.0,6.9,T
Dynasty Warriors,PSP,2004.0,Action,0.18,0.51,62.0,7.3,T
Madden NFL 08,GC,2007.0,Sports,0.06,0.08,75.0,7.0,E
Dance Dance Revolution SuperNOVA,PS2,2006.0,Simulation,0.87,1.04,73.0,8.7,E10+
The Sims: Bustin' Out,PS2,2003.0,Simulation,1.07,2.43,81.0,8.4,T
EA Playground,Wii,2007.0,Sports,0.68,1.29,66.0,7.6,E
Shaun White Skateboarding,Wii,2010.0,Sports,0.13,0.18,59.0,,E10+
Digimon All-Star Rumble,PS3,2014.0,Fighting,0.06,0.09,49.0,5.8,E10+
Need for Speed Rivals,PS3,2013.0,Racing,0.33,1.27,80.0,4.9,E10+
Trauma Center: Second Opinion,Wii,2006.0,Simulation,0.28,0.34,80.0,8.0,T
Paper Mario: Color Splash,WiiU,2016.0,Role-Playing,0.2,0.42,75.0,6.8,E
Rugby Challenge 3,PS4,2016.0,Sports,0.0,0.04,64.0,6.8,E
Mario Hoops 3 on 3,DS,2006.0,Sports,0.98,1.6,69.0,8.0,E
Wall-E,PS2,2008.0,Platform,0.21,0.75,67.0,8.4,E
Michael Jackson: The Experience,PSV,2011.0,Misc,0.04,0.09,57.0,5.8,E10+
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,1.46,4.23,91.0,9.3,M
Michael Jackson: The Experience,DS,2010.0,Misc,0.21,0.25,64.0,6.6,E10+
Resident Evil: Outbreak,PS2,2003.0,Action,0.54,1.45,71.0,8.3,M
LEGO Dimensions,WiiU,2015.0,Action,0.3,0.53,62.0,6.5,E10+
No More Heroes 2: Desperate Struggle,Wii,2010.0,Action,0.2,0.39,84.0,8.8,M
Enemy Territory: Quake Wars,PS3,2008.0,Shooter,0.23,0.35,60.0,6.4,T
The Legend of Spyro: A New Beginning,GC,2006.0,Platform,0.15,0.19,67.0,7.3,E10+
Second Sight,PS2,2004.0,Adventure,0.07,0.14,76.0,8.0,T
EyePet,PS3,2009.0,Simulation,0.35,0.99,70.0,8.2,E
Dragon Ball: Evolution,PSP,2009.0,Fighting,0.09,0.1,28.0,0.9,T
MySims,Wii,2007.0,Simulation,0.9,1.65,68.0,7.2,E
WorldShift,PC,2009.0,Strategy,0.02,0.02,63.0,8.1,T
Seaman,DC,1999.0,Simulation,0.0,0.52,82.0,8.4,T
FIFA Soccer 11,Wii,2010.0,Sports,0.26,1.07,73.0,7.3,E
MLB 12: The Show,PSV,2012.0,Sports,0.17,0.19,76.0,7.8,E
Charm Girls Club: My Perfect Prom,DS,2009.0,Simulation,0.11,0.12,,,E
NHL 08,X360,2007.0,Action,0.22,0.25,85.0,8.2,E10+
Sleeping Dogs,X360,2012.0,Action,0.38,0.87,80.0,7.9,M
The King of Fighters 02/03,PS2,2005.0,Fighting,0.03,0.07,73.0,8.8,T
Stretch Panic,PS2,2001.0,Platform,0.02,0.05,65.0,7.8,T
Rengoku: The Tower of Purgatory,PSP,2005.0,Action,0.1,0.11,43.0,5.6,M
Dragon Ball Z: Taiketsu,GBA,2003.0,Fighting,0.77,1.08,40.0,6.1,T
Tom Clancy's EndWar,PC,2009.0,Strategy,0.0,0.02,68.0,6.7,T
King's Field: The Ancient City,PS2,2001.0,Role-Playing,0.05,0.1,60.0,8.5,T
Dragon's Crown,PSV,2013.0,Role-Playing,0.14,0.35,78.0,8.4,T
Wild ARMs XF,PSP,2007.0,Role-Playing,0.07,0.14,64.0,6.6,E10+
Shovel Knight,PS4,2015.0,Platform,0.03,0.08,90.0,7.6,E
Battlezone,PS4,2016.0,Action,0.02,0.04,66.0,7.0,T
The Orange Box,X360,2007.0,Shooter,1.09,1.82,96.0,8.9,M
Transformers,PS2,2004.0,Shooter,0.63,1.29,75.0,8.6,T
Assassin's Creed IV: Black Flag,WiiU,2013.0,Action,0.17,0.29,86.0,7.7,M
NeverDead,X360,2012.0,Shooter,0.06,0.1,52.0,5.5,M
MLB 08: The Show,PSP,2008.0,Sports,0.3,0.33,83.0,8.4,E
Resident Evil: Revelations,3DS,2012.0,Action,0.3,0.88,82.0,8.5,M
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007.0,Shooter,0.34,1.03,84.0,8.1,T
SoulCalibur II,GC,2003.0,Fighting,0.99,1.5,93.0,9.1,T
Headhunter,PS2,2002.0,Action,0.19,0.38,74.0,7.8,M
Dead Space 3,PS3,2013.0,Action,0.44,0.96,76.0,6.4,M
Fragile Dreams: Farewell Ruins of the Moon,Wii,2009.0,Role-Playing,0.16,0.36,67.0,8.3,T
Fuel,PS3,2009.0,Racing,0.08,0.24,67.0,7.4,E
Syphon Filter: Dark Mirror,PS2,2007.0,Shooter,0.14,0.28,70.0,7.8,T
Uncharted 4: A Thief's End,PS4,2016.0,Shooter,1.85,5.38,93.0,7.9,T
Gauntlet: Dark Legacy,GC,2002.0,Action,0.14,0.18,60.0,9.1,T
Battlefield: Bad Company,PS3,2008.0,Shooter,0.76,1.34,84.0,8.1,T
Tom Clancy's HAWX,PS3,2009.0,Action,0.21,0.56,74.0,8.1,T
Brothers In Arms: D-Day,PSP,2006.0,Shooter,0.23,0.46,65.0,9.1,M
MTV Music Generator 2,PS2,2001.0,Misc,0.08,0.15,77.0,8.5,T
Plants vs. Zombies: Garden Warfare,PC,2014.0,Shooter,0.0,0.02,78.0,7.8,E10+
Knights in the Nightmare,PSP,2010.0,Role-Playing,0.06,0.09,75.0,7.7,T
NBA Live 09 All-Play,Wii,2008.0,Sports,0.19,0.22,51.0,5.9,E
SBK Superbike World Championship,X360,2008.0,Racing,0.06,0.21,63.0,8.0,E10+
The Lord of the Rings Online: Mines of Moria,PC,2008.0,Role-Playing,0.0,0.02,85.0,8.2,T
Call of Duty: Black Ops,PC,,Shooter,0.58,1.63,81.0,5.2,M
Showdown: Legends of Wrestling,PS2,2004.0,Fighting,0.15,0.3,55.0,6.1,T
Hitman: HD Trilogy,X360,2013.0,Action,0.07,0.17,69.0,7.2,M
Dino Stalker,PS2,2002.0,Shooter,0.07,0.22,50.0,6.3,M
Assassin's Creed: Altair's Chronicles,DS,2008.0,Platform,0.03,0.05,58.0,6.3,T
Prince of Persia: The Fallen King,DS,2008.0,Action,0.06,0.07,64.0,6.0,E
Injustice: Gods Among Us,PS3,2013.0,Fighting,0.48,1.18,78.0,7.9,T
ESPN NHL 2K5,PS2,2004.0,Sports,0.43,0.88,86.0,8.1,E
Spider-Man: Battle for New York,DS,2006.0,Platform,0.12,0.13,68.0,6.9,E10+
MC Groovz Dance Craze,GC,2004.0,Misc,0.15,0.2,42.0,6.8,E
Madden NFL 06,X360,,Sports,0.54,0.59,74.0,4.9,E
Transport Fever,PC,2016.0,Simulation,0.0,0.04,70.0,7.0,
Madden NFL 07,DS,2006.0,Sports,0.2,0.21,70.0,6.5,E
Bladestorm: Nightmare,PS4,2015.0,Action,0.08,0.17,58.0,6.5,T
MLB SlugFest 20-03,XB,2002.0,Sports,0.15,0.2,79.0,7.8,E
Cold War,XB,2005.0,Shooter,0.02,0.02,60.0,8.0,T
Mario Party 10,WiiU,2015.0,Misc,0.69,1.58,66.0,6.5,E
Operation Flashpoint: Red River,X360,2011.0,Shooter,0.1,0.28,69.0,6.1,M
Fracture,X360,2008.0,Shooter,0.15,0.33,63.0,6.2,T
Codename: Panzers Cold War,PC,2009.0,Strategy,0.0,0.03,67.0,5.8,T
XXX,GBA,2002.0,Action,0.08,0.11,50.0,5.0,E
Jack Keane,PC,2008.0,Adventure,0.0,0.03,69.0,7.0,T
Transworld Surf,PS2,2002.0,Sports,0.09,0.19,76.0,8.5,T
Splatterhouse,PS3,,Action,0.13,0.16,59.0,7.7,M
SoulCalibur II,PS2,2003.0,Fighting,1.06,2.06,92.0,8.8,T
Lair,PS3,2007.0,Action,0.36,0.51,53.0,6.4,T
Boktai: The Sun is in Your Hand,GBA,2003.0,Role-Playing,0.1,0.15,83.0,9.6,E
Need for Speed: ProStreet,PS2,2007.0,Racing,0.69,2.41,62.0,6.2,E10+
LEGO Rock Band,X360,2009.0,Misc,0.4,0.56,71.0,7.2,E10+
Indiana Jones and the Emperor's Tomb,XB,2003.0,Action,0.14,0.18,73.0,8.6,T
Fighter Within,XOne,2013.0,Fighting,0.11,0.19,23.0,3.0,T
Halo: Reach,X360,2010.0,Shooter,7.04,9.86,91.0,7.9,M
Dead or Alive Paradise,PSP,2010.0,Misc,0.07,0.18,38.0,5.6,M
Defender,PS2,2002.0,Misc,0.2,0.4,73.0,7.8,T
Eternal Darkness: Sanity's Requiem,GC,2002.0,Adventure,0.34,0.44,92.0,8.7,M
Tak and the Power of Juju,GC,2003.0,Platform,0.31,0.4,71.0,8.2,E
The Fast and the Furious,PS2,2006.0,Racing,0.03,0.06,59.0,6.6,T
Kororinpa: Marble Mania,Wii,2006.0,Puzzle,0.08,0.13,69.0,8.7,E
Mushroom Men: The Spore Wars,Wii,2008.0,Action,0.16,0.18,72.0,8.7,E10+
Sleeping Dogs,PC,2012.0,Action,0.06,0.12,81.0,8.2,M
Cars,GC,2006.0,Racing,0.72,0.93,71.0,7.0,E
Resident Evil: Revelations 2,PS4,2015.0,Action,0.13,0.55,75.0,7.7,M
Dragon Age: Inquisition,XOne,2014.0,Role-Playing,0.56,0.93,85.0,6.9,M
The Technomancer,PC,2016.0,Role-Playing,0.0,0.01,56.0,6.8,M
World Soccer Winning Eleven 6 International,PS2,2002.0,Sports,0.12,2.99,93.0,9.1,E
Starhawk,PS3,2012.0,Action,0.18,0.29,77.0,7.8,T
Valkyria Chronicles II,PSP,2010.0,Role-Playing,0.12,0.53,83.0,8.1,T
Spider-Man 2,GC,2004.0,Action,0.65,0.84,80.0,8.8,T
Colin McRae Rally 2005,XB,2004.0,Racing,0.04,0.05,83.0,7.5,E
XCOM: Enemy Unknown,PC,2012.0,Strategy,0.27,0.71,89.0,8.2,M
Star Wars Racer Revenge,PS2,2002.0,Racing,0.15,0.31,73.0,8.5,E
Dungeon Maker: Hunting Ground,PSP,2006.0,Role-Playing,0.03,0.03,70.0,6.4,E10+
NFL Head Coach 09,X360,2008.0,Sports,0.11,0.11,67.0,8.4,E
College Hoops 2K8,X360,2007.0,Sports,0.16,0.18,81.0,6.9,E
Madden NFL 10,Wii,2009.0,Sports,0.62,0.72,77.0,7.2,E
Dead or Alive: Dimensions,3DS,2011.0,Fighting,0.13,0.45,79.0,8.2,T
Godzilla Unleashed,Wii,2007.0,Fighting,0.14,0.16,44.0,7.2,E10+
MadWorld,Wii,2009.0,Action,0.45,0.77,81.0,8.6,M
SEGA Classics Collection,PS2,2005.0,Misc,0.21,0.43,46.0,6.7,T
Terraria,PS3,2013.0,Action,0.07,0.41,81.0,7.9,T
Ninja Gaiden Sigma 2,PS3,2009.0,Action,0.52,0.85,83.0,7.7,M
Hot Shots Tennis,PS2,2006.0,Sports,0.17,0.9,70.0,8.1,E
Alone in the Dark,PC,2008.0,Adventure,0.0,0.01,55.0,5.7,M
Imperial Glory,PC,2005.0,Strategy,0.0,0.04,69.0,8.4,T
Hitman: Absolution,PS3,2012.0,Action,0.59,2.14,83.0,7.5,M
Rocky,PS2,2002.0,Fighting,0.42,0.86,74.0,8.4,T
Night at the Museum: Battle of the Smithsonian,X360,2009.0,Action,0.07,0.11,50.0,7.1,E10+
Donkey Kong Country 2,GBA,2004.0,Platform,0.79,1.23,80.0,9.1,E
Etrian Odyssey Untold: The Millennium Girl,3DS,2013.0,Role-Playing,0.1,0.26,80.0,8.2,T
Bad Boys: Miami Takedown,XB,2004.0,Shooter,0.14,0.18,35.0,5.9,M
Bruce Lee: Quest of the Dragon,XB,2002.0,Fighting,0.23,0.31,32.0,2.4,T
Red Steel 2,Wii,2010.0,Shooter,0.35,0.62,80.0,8.6,T
Kessen,PS2,2000.0,Strategy,0.27,0.95,75.0,8.4,T
